league_to,market_value,transfert_fee
 Russia,14000000,19000000
 Qatar,7500000,15000000
Italy Serie A,15000000,15000000
England Premier League,5000000,12000000
Spain LIGA BBVA,15000000,9250000
Portugal Liga ZON Sagres,10000000,7500000
Stars League,11500000,7500000
Scotland Premier League,5250000,7250000
Torneo Final,3500000,5300000
France Ligue 1,4500000,5000000
Netherlands Eredivisie,6000000,4900000
Liga MX Clausura,1300000,4000000
Premier Liga,50000,4000000
Serie B,1100000,3800000
 United Arab Emirates,1900000,3600000
Switzerland Super League,2000000,2700000
 Mexico,3000000,2500000
Jupiler Pro League,3000000,2500000
SÃ¼per Lig,2500000,2500000
Bundesliga,1500000,2000000
 Croatia,5000000,1500000
Allsvenskan,50000,1500000
Germany 1. Bundesliga,1200000,1500000
